id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_open_response_prompt_user,open.response.prompt,model_open_response_prompt,base.group_user,1,1,1,1
access_open_response_rubric_user,open.response.rubric,model_open_response_rubric,base.group_user,1,1,1,1
access_rubric_criterian_user,rubric.criterian,model_rubric_criterian,base.group_user,1,1,1,1
access_ora_response,ora.response,model_ora_response,base.group_user,1,1,1,1
access_open_response_user_line,open.response.user.line,model_open_response_user_line,base.group_user,1,1,1,1
access_open_response_rubric_staff,open.response.rubric.staff,model_open_response_rubric_staff,base.group_user,1,1,1,1
access_open_response_rubric_assess,open.response.rubric.assess,model_open_response_rubric_assess,base.group_user,1,1,1,1
access_open_response_prompt_public,open.response.prompt,model_open_response_prompt,base.group_public,1,1,1,0
access_open_response_rubric_public,open.response.rubric,model_open_response_rubric,base.group_public,1,1,1,0
access_open_response_prompt_portal,open.response.prompt,model_open_response_prompt,base.group_portal,1,1,1,0
access_open_response_rubric_portal,open.response.rubric,model_open_response_rubric,base.group_portal,1,1,1,0
access_ora_response_portal,ora.response,model_ora_response,base.group_portal,1,1,1,0
access_open_response_rubric_staff_portal,open.response.rubric.staff,model_open_response_rubric_staff,base.group_portal,1,1,1,0
access_open_response_rubric_assess_portal,open.response.rubric.assess,model_open_response_rubric_assess,base.group_portal,1,1,1,0
access_open_response_user_line_portal,open.response.user.line,model_open_response_user_line,base.group_portal,1,1,1,0
access_ir_translation_portal,ir.translation,base.model_ir_translation,base.group_portal,1,0,0,0
access_rubric_criterian_portal,rubric.criterian,model_rubric_criterian,base.group_portal,1,1,1,0
access_ora_response_public,ora.response,model_ora_response,base.group_public,1,1,1,0
access_open_response_rubric_staff_public,open.response.rubric.staff,model_open_response_rubric_staff,base.group_public,1,1,1,0
access_open_response_rubric_assess_public,open.response.rubric.assess,model_open_response_rubric_assess,base.group_public,1,1,1,0
access_open_response_user_line_public,open.response.user.line,model_open_response_user_line,base.group_public,1,1,1,0
access_ir_translation_public,ir.translation,base.model_ir_translation,base.group_public,1,0,0,0
access_rubric_criterian_public,rubric.criterian,model_rubric_criterian,base.group_public,1,1,1,0
